arg_1	round_1	ann_1	arg_2	round_2	ann_2	annotation_name	is_attacks
I have tried to address your principle concern by improving the scope of the work, revising the method section, results, discussion and conclusion.	2	1	As a separate recommendation, the paper needs smoother transitions between topics on pages 2-7. The authors should add one or two lines smoothing the flow for the reader, rather than relying on subject headings.	1	2	admsci5030125_boyarkin	1
I have tried to improve the information density of the paper from being to verbiose.	2	1	The paper is on the one hand quite verbose, but with respect to the peer review incomplete. Possible risks in peer review are many more than the ones listed in Table 3.	1	2	admsci5030125_boyarkin	1
I have added the results of the stakeholder analysis to improve the communication our view of the PRP.	2	1	The paper can become stronger if it limits itself to the Peer Review Ring Incident and will look at the various aspects of that scenario including risk reducing measures.	1	2	admsci5030125_boyarkin	1
I have tried to address your other concerns by improving the scope of the work, revising the method section, results, discussion and conclusion.	2	1	It didn't become clear to me as a reader where the specific results of the 13 steps of the CIRA application are and where these are described. What are the conclusions about the root cause? Or are there multiple root causes? And what definition of root cause is used?	1	2	admsci5030125_boyarkin	1
I have elaborated on all the areas you commented, and clarified the CIRA methodology and hopefully my contribution.	2	1	there is not enough explanation about the CIRA and the person(s) who developed this method. Also there is not enough clarification and elaboration on the differences of your work on CIRA and your customizations comparing to the original methodology.	1	2	admsci5030125_boyarkin	1
Thank you for comments on the grammar issues, these are now fixed. Abbrevation issues should be fixed.	2	1	There are some typos, punctuations and grammatical errors in the paper,	1	2	admsci5030125_boyarkin	1
I have also tried to address your other concerns by improving the scope of the work, revising the method section, results, discussion and conclusion.	2	1	There are some consistency issues in your writing. This does not look professional in scientific papers.	1	2	admsci5030125_boyarkin	1
I have included all your suggested changes together with a major spellcheck.	4	1	There is a need for some editing; e.g. grammatical and punctuation corrections, elements in the text.	3	2	admsci5030125_boyarkin	1
I have tried to address your principle concern by improving the scope of the work, revising the method section, results, discussion and conclusion.	2	1	Given the authors stated goal of promoting the CIRA technique and approach to demonstrating its uses, I would recommend re-formatting the paper as a pedagogical tool. Rather than claiming to validate the method, focus on a detailed step by step examination of its implementation using a known outcome.	1	2	admsci5030125_makarova	1
I have tried to improve the information density of the paper from being to verbiose.	2	1	The paper is on the one hand quite verbose, but with respect to the peer review incomplete.	1	2	admsci5030125_makarova	1
I have added the results of the stakeholder analysis to improve the communication our view of the PRP.	2	1	The paper can become stronger if it limits itself to the Peer Review Ring Incident and will look at the various aspects of that scenario including risk reducing measures.	1	2	admsci5030125_makarova	1
I have tried to address your other concerns by improving the scope of the work, revising the method section, results, discussion and conclusion.	2	1	What are the conclusions about the root cause? Or are there multiple root causes? And what definition of root cause is used?	1	2	admsci5030125_makarova	1
I have elaborated on all the areas you commented, and clarified the CIRA methodology and hopefully my contribution.	2	1	Also there is not enough clarification and elaboration on the differences of your work on CIRA and your customizations comparing to the original methodology.	1	2	admsci5030125_makarova	1
I have included all your suggested changes together with a major spellcheck.	4	1	There is a need for some editing; e.g. grammatical and punctuation corrections, elements in the text.	3	2	admsci5030125_makarova	1
Agree that it should not be an issue. Therefore, I recalibrated the piece to note that co-operatives are not third sector organizations, but instead have similar features that could allow the institutional analyst fertile ground for innovations in governance.	2	1	the third sector, its definition and description is missing. I would not have thought of this as a major issue unless Evers and Laville (2004) The third sector in Europe, Edward Elgar, spesifically discuss whether cooperations are defined within or outside the third sector. Maybe taken for granted here? The least we should expect is a definition.	1	2	admsci5030148_devetyaro	1
I agree that this is not a case study; I made the mistake in haste. I have therefore changed the paper from a case study to a discussion paper. Additionally, I note in the paper that I perform an archival analysis of media accounts in an effort to demonstrate how the utilization of the ODPs for analysizing secondary data may better position the analyst to perform rigorous, interogative fieldwork.	2	1	the case description and analysis is based only on media accounts - no actual first hand information to inform the analysis. I find this less than satisfying. It should be possible to interview a few key individuals about the case to make sure the medis picture is corrected where this is needed. Media does not always get it right. There is not enough evidence to prove anything about CEC.	1	2	admsci5030148_devetyaro	1
See the DISCUSSION and CONCLUSION sections, where I have added additional analyses.	2	1	I also have problems with the depth of the discussion, and I feel the conclusion does not match the promises of the abstract.	1	2	admsci5030148_devetyaro	1
